469937,Wrap Around Patio With City Lights & Mountain View,33.791858,-118.161654,"Signal Hill, CA, USA",15,4.9,96,,,,195,,30,3,1,1,condo,Yes,2013,Within 12 hours,100%,"June 7, 2017",condo,2,750,state,building,Long Beach
907773,SPACIOUS 2 BEDROOM BEACH HOUSE,33.846556,-118.38956,"South Redondo, Redondo Beach, CA, USA",0,,160,,,,,12.0%,31,4,2,2,townhome,Yes,2014,Within an hour,100%,"May 12, 2017",townhome,,1800,4,building,Long Beach,CA
1028606,1 STORY CONTEMPORARY BEACH COTTAGE,,,"Huntington Beach, CA, USA",2,,313,300,,,170,,3,4,2,1,house,No,2017,Within a day,100%,"June 8, 2017",house,,,,,Long Beach,CA
3795290ha,Vintage Oceanfront Cottage On The Sand. Whitewater Ocean Views and Dog's welcome,33.627853,-117.953281,"Newport Beach, CA, USA",9,4.8,500,,,,,,7,8,2,1,cottage,No,2014,Within a day,100%,"June 1, 2017",cottage,,1100,8,,Long Beach,CA
3881705ha,2Nights Remain in June $250 per N,33.787016,-117.908757,"Anaheim Resort, Anaheim, CA, USA",51,,388,299,,,200,15.0%,2,20,5,2,house,Yes,2014,Within a few hours,100%,"June 8, 2017",house,,1997,20,,Long Beach,CA
3924648ha,MOST POPULAR AREA of NEWPORT Beach House BIG patio & deck! 7 Houses From Sand,33.617951,-117.936064,"Balboa Peninsula, Newport Beach, CA, USA",2,,612,,,,,,2,14,6,4,house,Yes,2015,Within an hour,,"June 8, 2017",house,,,14,,Long Beach,CA
738561,Modern Manhattan Beach Duplex - Block from the Beach,33.9014511,-118.4172179,"El Porto, Manhattan Beach, CA, USA",2,,120,120,,,100,10.0%,4,4,1,1,apartment,Yes,2015,Within 12 hours,90%,"June 9, 2017",apartment,1,350,4,building,Long Beach,CA
4064594ha,"Luxury 3 Bedroom, 2 1/2 Bath - Block to Beach",,,"Old Towne, Seal Beach, CA, USA",2,,183,,,,200,,30,6,3,2,apartment,Yes,2015,Within 12 hours,100%,"May 19, 2017",apartment,2,1100,6,building,Long Beach,CA
4160785ha,"APR/MAY SALE!!! Classic Cottage With All New Interior; 3 Bedrooms, 2 Baths, CALL",33.830724,-117.9262805,"Anaheim Colony Historic District, Anaheim, CA, USA",8,,242,245,,,195,15.0%,3,8,3,2,house,Yes,2007,Within a day,80%,"May 25, 2017",house,,1100,8,,Long Beach,CA
4278036ha,Stunning 3BR Buena Park House w/Patio!,33.84473,-118.0195,"Buena Park, CA, USA",6,4.3,261,,,,,,2,8,3,2,house,Yes,1999,Within an hour,,"June 9, 2017",house,,1400,8,,Long Beach,CA
4475312ha,Ocean View Property in beautiful Redondo Beach,33.8438388,-118.390977,"South Redondo, Redondo Beach, CA, USA",0,,200,200,,,95,12.0%,30,6,2,2,condo,Yes,2017,,,"May 24, 2017",condo,1,,6,building,Long Beach,CA
3791884ha,SoCal Getaway - Your Ultimate Southern California Vacation Home REG#2015-00142,33.829219,-117.885035,"Southeast Anaheim, Anaheim, CA, USA",18,4.9,410,399,,,175,15.0%,3,11,4,2,house,Yes,2014,Within an hour,100%,"May 30, 2017",house,,2550,11,,Long Beach,CA
3916884ha,Lemon - 4 Bd/2 Ba Resort Near Packing District!,33.84208952,-117.91814042,"Anaheim Colony Historic District, Anaheim, CA, USA",13,,323,,,,,,3,11,4,2,house,Yes,2015,Within an hour,,"June 9, 2017",house,,1527,11,,Long Beach,CA
856631,"Single Family Home on the Sand! 3 Beds, 3 Bath! Available 3-7 Nights!",33.622582,-117.943418,"Newport Beach, CA, USA",2,,495,,,,,,3,8,3,2,house,Yes,2014,Within a day,,"June 9, 2017",house,,,8,,Long Beach,CA
1082338,"HB Downtown Home w/ Pool & Jacuzzi, 2 Blocks to the Ocean, Shops & Dinning",33.658717,-117.995242,"Huntington Beach, CA, USA",0,,530,495,,,250,,3,10,4,3,house,Yes,2017,Within an hour,100%,"June 7, 2017",house,,2700,,,Long Beach,CA
487560,Elegant Beach Front Home –Where life long memories are made!,33.72271,-118.077392,"Sunset Beach, Huntington Beach, CA, USA",17,,993,850,,,350,,4,10,4,4,house,Yes,2013,Within 12 hours,100%,"June 9, 2017",house,,4200,10,,Long Beach,CA
628926,Family-Friendly Beach Cottage,33.615896,-117.931802,"Balboa Peninsula, Newport Beach, CA, USA",10,,264,285,,,75,10.0%,4,6,2,2,cottage,Yes,2014,Within 12 hours,80%,"June 6, 2017",cottage,,1000,6,,Long Beach,CA
710289,"LuxHome in Southern Cali.Near Disneyland, Anaheim Convention Center,LittleSaigon",33.77228571,-117.98833261,"Garden Grove, CA, USA",9,4.3,240,,,,100,9.0%,3,6,3,2,condo,Yes,2015,Within a few hours,100%,"June 9, 2017",condo,1,1350,6,house,Long Beach,CA
4024337ha,New Listing ~ 3Br Disneyland Home Sleeps 6-8,,,"Southeast Anaheim, Anaheim, CA, USA",7,4.4,178,178,,,125,,3,6,3,1,house,Yes,2015,Within a few days,80%,"June 4, 2017",house,,1200,6,,Long Beach,CA
849517,Perfect For Large Groups - 3 Home Compound - Central L.A. Location,33.97443536,-118.29679266,"South Los Angeles, Los Angeles, CA, USA",2,4.5,583,595,745,,,,3,29,10,7,house,Yes,2014,Within an hour,100%,"June 7, 2017",house,,,29,,Long Beach,CA
874806,"2 Story House, 4 bedrooms, 2 bathrooms, Large Yard Within Nice Neighborhood",,,"South Coast Metro, CA, USA",2,,259,250,285,,185,11.0%,1,10,4,2,house,Yes,2016,Within a few days,70%,"June 7, 2017",house,,2000,10,,Long Beach,CA
915363,"Endless Summer In This Bright, Open, And Comfortable Home!",33.869345,-118.366863,"North Redondo, Redondo Beach, CA, USA",6,4.8,321,375,,,,,2,6,3,2,townhome,Yes,2015,Within a day,90%,"June 5, 2017",townhome,1,1800,6,house,Long Beach,CA
4297593ha,"Extravagant Villa in South Bay, CA: 30% DISCOUNT FOR NEXT 2 WEEKS",33.78713,-118.314832,"Lomita, CA, USA",4,3.8,338,300,380,,200,,2,10,4,3,house,Yes,2016,Within a few days,100%,"June 8, 2017",house,,2400,,,Long Beach,CA
948533,$100 OFF JUNE !Beach Bungalow 30 Seconds to Beach & Dining! Parking/WiFi/Bikes,33.618532,-117.936405,"Balboa Peninsula, Newport Beach, CA, USA",3,,300,185,210,,175,10.0%,2,7,2,2,house,Yes,2010,Within an hour,100%,"June 9, 2017",house,,,,,Long Beach,CA
4447878ha,"Across the Street from the Sand, Surf & Sea, Paradise for 8 People/Pets",33.7403757,-118.10663467,"Old Towne, Seal Beach, CA, USA",4,,370,350,,,,12.0%,4,8,3,2,condo,Yes,2017,Within a few hours,100%,"June 9, 2017",condo,1,1300,,building,Long Beach,CA
117273,1/2 Block to Beach Plus Private Yard + Pool & Spa,33.74108505,-118.10588837,"Old Towne, Seal Beach, CA, USA",15,4.9,463,,,,195,12.0%,2,8,3,2,cottage,Yes,2007,Within an hour,100%,"June 6, 2017",cottage,,,8,,Long Beach,CA
968655ha,Beautiful Oceanfront Lower Unit! (68189),33.61401,-117.93357,"Balboa Peninsula, Newport Beach, CA, USA",87,4.2,521,,,,,,3,6,3,2,house,Yes,2008,Within a day,,"June 9, 2017",house,,,6,,Long Beach,CA
375691,Burnham Beach Cottages #2-Block to Beach!,33.83931351,-118.38637543,"South Redondo, Redondo Beach, CA, USA",39,4.8,165,150,,,75,,2,4,1,1,cottage,Yes,2010,Within 12 hours,100%,"June 7, 2017",cottage,,,4,,Long Beach,CA
573448,5 star Beach Oasis  Located just 4 houses from the surf!!  Beach Beach Beach,33.8999191,-118.418594,"Sand Section, Manhattan Beach, CA, USA",21,4.7,255,250,,,,10.0%,3,2,1,1,apartment,Yes,2014,Within a few hours,100%,"June 4, 2017",apartment,1,672,2,,Long Beach,CA
829330,"Palm Villa -  4 Bed 3.5 Bath Resort, Big Pool/Spa! Clean! Walk to Disneyland!",33.825244,-117.914821,"Southwest Anaheim, Anaheim, CA, USA",14,,469,399,449,,275,15.0%,5,11,4,3,house,Yes,2016,Within an hour,100%,"June 9, 2017",house,,2300,,,Long Beach,CA
4346627ha,"15% OFF OPEN JUNE DATES -Modern Luxury, Private Jacuzzi on Deck W/ Ocean View",33.612874,-117.931146,"Balboa Peninsula, Newport Beach, CA, USA",0,,650,,,,,,3,10,4,2,house,Yes,2005,Within an hour,,"June 9, 2017",house,,,10,,Long Beach,CA
4336579ha,Grand Opening !! Disney & Conv. Ctr  Remaining June $199,33.7928349,-117.923486,"Southwest Anaheim, Anaheim, CA, USA",6,4.8,290,275,,,175,15.0%,2,17,4,2,house,Yes,2016,Within a few hours,100%,"June 8, 2017",house,,1400,17,,Long Beach,CA
184969,Cape Catalina 'A' - Luxury Oceanview Executive Home,33.71582794,-118.0688324,"Sunset Beach, Huntington Beach, CA, USA",13,,575,575,,,200,10.0%,3,8,4,3,condo,Yes,2008,Within a few hours,100%,"May 27, 2017",condo,,2300,8,,Long Beach,CA
208189ha,"Cape Catalina 'A' - Luxury, Oceanview Executive Home",33.715827,-118.06883,"Sunset Beach, Huntington Beach, CA, USA",13,,575,575,,,,10.0%,3,8,4,3,condo,Yes,2008,Within a few hours,100%,"May 27, 2017",condo,,2300,8,house,Long Beach,CA
3686806ha,Beautiful Beach House in Downtown Manhattan Beach,33.882128,-118.407784,"Sand Section, Manhattan Beach, CA, USA",9,,857,,,,,10.0%,14,8,3,3,house,Yes,2014,Within a day,100%,"May 2, 2017",house,,2400,8,,Long Beach,CA
626595,"Close to Convention, 1.5 Miles Walk To Disneyland, see Firework, Garage parking.",33.820536,-117.928655,"Southwest Anaheim, Anaheim, CA, USA",8,,255,300,,,,15.0%,3,9,4,2,house,Yes,2014,Within a few hours,100%,"June 8, 2017",house,,1291,9,,Long Beach,CA
3843933ha,"3 Bedroom, Wyndham Dolphin’s Cove Resort, 1 mile from Disneyland",33.7965261,-117.9135132,"Southwest Anaheim, Anaheim, CA, USA",2,,329,329,,,100,,5,8,3,2,condo,Yes,2014,Within an hour,100%,"June 7, 2017",condo,2,1117,8,,Long Beach,CA
808821,DOWNSTAIR MASTER BEDROOM  private entry,33.768361,-118.01978,"Westminster, CA, USA",10,4.8,79,79,,,40,,4,2,1,1,house,Yes,2015,Within an hour,100%,"June 8, 2017",house,,250,2,,Long Beach,CA
852055,Just Discounted! Disney Magic in Anaheim – Family-Friendly w/ Private Pool,33.814983,-117.910008,"Anaheim Resort, Anaheim, CA, USA",3,,199,,,,,,3,6,3,2,house,Yes,2006,Within an hour,,"June 9, 2017",house,,1146,6,,Long Beach,CA
859637,Beach Casita/Air Conditioning/Beach,33.663012,-117.9992,"Huntington Beach, CA, USA",8,,128,140,160,,150,,1,4,1,1,cottage,No,2016,Within a few days,60%,"June 6, 2017",cottage,,,4,,Long Beach,CA
4422242ha,Disneyland Cozy Family Home!,33.7722134,-117.9836808,"Garden Grove, CA, USA",13,4.8,254,249,269,,150,,1,10,3,2,house,Yes,2016,Within an hour,100%,"June 9, 2017",house,,,10,,Long Beach,CA
1026733,Charming Cottage with Guest Cottage on a Cliff by the Sea,,,"Coastal San Pedro, Los Angeles, CA, USA",2,,350,350,,,250,10.0%,2,8,4,3,house,Yes,2015,Within an hour,100%,"June 8, 2017",house,,,8,,Long Beach,CA
1076173,Pool-home. Disneyland Anaheim and Knott's Berry Farm just 10 Minutes away!,,,"Southwest Anaheim, Anaheim, CA, USA",0,,110,,,,25,,,6,2,2,house,Yes,2017,Within a day,100%,"June 8, 2017",house,,750,,,Long Beach,CA
176501,Contemporary Beach Getaway! Summer weeks still available.,33.61386871,-117.93054199,"Balboa Peninsula, Newport Beach, CA, USA",26,,226,225,250,,125,10.0%,3,3,1,1,house,Yes,2008,Within 12 hours,100%,"June 5, 2017",house,,1000,3,house,Long Beach,CA
3497551ha,Bright & cheery oceanfront upper unit with amazing location for fun in the sun!,33.617875,-117.937083,"Balboa Peninsula, Newport Beach, CA, USA",4,4.3,425,,,,,,3,8,3,2,condo,Yes,2006,Within an hour,,"June 8, 2017",condo,2,1423,8,,Long Beach,CA
641842,Fully Renovated Home - 6 houses from the sand!,33.6172171,-117.9354024,"Balboa Peninsula, Newport Beach, CA, USA",13,,460,425,,,250,10.0%,2,8,3,2,house,Yes,2014,Within 12 hours,90%,"June 8, 2017",house,,1300,8,,Long Beach,CA
3772327ha,the Bronze Reserve *An Affiliate Property*,33.975378,-118.369339,"South Los Angeles, Los Angeles, CA, USA",4,4.3,243,,,,,,2,6,2,2,condo,Yes,2012,Within a few hours,,"June 8, 2017",condo,,850,6,,Long Beach,CA
682113,4Bedroom/3Bath Home Near Disneyland: Family Friendly,33.884742,-117.934357,"Fullerton, CA, USA",13,4.9,400,350,,,200,,3,12,4,3,house,Yes,2015,Within a few hours,100%,"June 1, 2017",house,,2400,12,,Long Beach,CA
687546,Beautiful  Beach Home ... Steps To The Beach And Town ...5 Star Amenities,33.887565,-118.411711,"Sand Section, Manhattan Beach, CA, USA",7,,800,850,,,265,,3,8,4,3,townhome,Yes,2015,Within 12 hours,100%,"June 6, 2017",townhome,,,8,,Long Beach,CA
784120,Large Family Ready Two Story Duplex: Ping Pong and Pool Table,33.623109,-117.943,"Newport Beach, CA, USA",0,,745,685,,,,10.0%,4,16,6,4,house,Yes,2015,Within a few hours,100%,"June 8, 2017",house,,3300,16,,Long Beach,CA
4289149ha,Charming house in the garden close to the beach,33.653977,-117.9296666,"Westside Costa Mesa, Costa Mesa, CA, USA",3,3.7,198,198,,,180,,3,5,3,2,house,Yes,2016,Within 2 days,90%,"June 8, 2017",house,,,5,,Long Beach,CA
4335031ha,The perfect luxury beach home!,,,"Hermosa Beach, CA, USA",0,,700,700,,,250,9.0%,3,8,3,3,house,Yes,2016,Within a day,100%,"June 6, 2017",house,,2000,,,Long Beach,CA
960394,,,,,0,,,,,,,,,,,,,No,,,,,,,,,,Long Beach,CA
1014250,"Luxury New Modern Huge House, By USC, CONVENTION CENTER, LA LIVE, COLISEUM",,,"South Los Angeles, Los Angeles, CA, USA",7,4.9,325,311,,,150,9.25%,2,8,3,2,house,Yes,2017,Within an hour,100%,"June 7, 2017",house,,2000,8,house,Long Beach,CA
39085,Jungeland Beach Home,33.628506,-117.949948,"Newport Shores, Newport Beach, CA, USA",4,,535,535,,,,,7,12,4,3,house,Yes,2004,Within a day,100%,"June 8, 2017",house,,,12,,Long Beach,CA
65643,"Beach fun, sand, sea, bikes & Catalina views.",33.61377,-117.931186,"Balboa Peninsula, Newport Beach, CA, USA",12,,250,250,,,,,7,6,2,2,condo,Yes,2005,Within 12 hours,90%,"June 5, 2017",condo,1,850,6,,Long Beach,CA
182213,Pineapple Cottage.steps to Pacific ocean August special $175.00,33.73709488,-118.09880066,"Old Towne, Seal Beach, CA, USA",130,,240,225,,,,12.0%,5,6,1,1,bungalow,Yes,2008,Within 12 hours,90%,"June 5, 2017",bungalow,,,,,Long Beach,CA
458723,"Only a 10 minute drive from the Terranea Resort,and the Wayfarers Chapel .",33.747541,-118.303126,"Northwest San Pedro, Los Angeles, CA, USA",30,4.9,115,115,,,,,7,10,4,2,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,1900,10,,Long Beach,CA
644863,Quaint Studio 1 mile from beach,33.668161,-117.987756,"Huntington Beach, CA, USA",14,,90,,,,100,,30,3,Studio,1,condo,No,2014,Within a few days,60%,"June 3, 2017",condo,2,500,3,,Long Beach,CA
3912064ha,Relax in this Newport Island Beach House with Amazing Views!,33.619277,-117.934617,"Balboa Peninsula, Newport Beach, CA, USA",5,4.6,346,,,,,,2,9,4,2,house,Yes,2008,Within a day,,"June 9, 2017",house,,,9,,Long Beach,CA
1006124,Year-Round Bayside Vacation Getaway,33.6193814,-117.9355558,"Balboa Peninsula, Newport Beach, CA, USA",1,,177,,,,,,0,6,1,1,apartment,Yes,2004,Within a day,,"June 8, 2017",apartment,2,,6,house,Long Beach,CA
7051970ha,Walk to the Beach - Families Welcome,,,"Huntington Beach, CA, USA",13,,271,,,,100,,3,7,3,2,townhome,Yes,2009,Within a day,100%,"June 6, 2017",townhome,,,7,,Long Beach,CA
552225,*Pool +Game Room + Disneyland Close **Summer Specials**,33.807887,-117.936925,"Hermosa Village, Anaheim, CA, USA",30,4.8,366,,,,,,3,11,4,2,house,Yes,2006,Within an hour,,"June 8, 2017",house,,1800,11,,Long Beach,CA
569988,South Redondo Beach Charm House with Stunning Whitewater Ocean Views,33.81134344,-118.38143126,"Redondo Beach, CA, USA",40,4.7,329,290,,,,,3,6,2,1,house,Yes,2010,Within an hour,100%,"June 8, 2017",house,,1500,,,Long Beach,CA
3535549ha,"Exquisite Home, 15-minute Walk To Disneyland",33.8200519,-117.929249,"Southwest Anaheim, Anaheim, CA, USA",26,4.9,367,350,,,200,15.0%,3,11,3,3,house,Yes,2012,Within a few hours,100%,"June 9, 2017",house,,1800,,,Long Beach,CA
3907426ha,"Chestnut Bungalow, 3 bd/2bath",33.833068,-117.920492,"Anaheim Colony Historic District, Anaheim, CA, USA",16,4.8,269,,,,,,3,7,3,2,house,Yes,2015,Within an hour,,"June 9, 2017",house,,856,7,,Long Beach,CA
720595,Modern Hawaiian Beach House 1 Block From Beach! 50 Foot Wide Front Patio! Surf!,33.66372435,-118.00818263,"Huntington Beach, CA, USA",11,4.9,667,625,,,,,3,10,3,2,house,Yes,2015,Within an hour,100%,"June 7, 2017",house,,1500,10,,Long Beach,CA
759126,Directly On the Sand!,33.65839031,-118.00617091,"Huntington Beach, CA, USA",0,,320,,,,150,10.0%,28,8,2,1,townhome,Yes,2015,Within a day,100%,"May 30, 2017",townhome,2,1000,8,building,Long Beach,CA
763135,Oceanfront 3BR Stunner on Sunset Beach – Spend Christmas at the beach!,33.72037388,-118.075404,"Sunset Beach, Huntington Beach, CA, USA",11,4.7,674,,,,,,2,8,3,2,house,Yes,2006,Within an hour,,"June 9, 2017",house,,2300,8,,Long Beach,CA
4299149ha,"True Luxury 4,500 sq.ft  Estate - 7 Miles To Disneyland",33.9009349,-117.933423,"Fullerton, CA, USA",0,,516,499,599,,320,10.0%,3,12,5,4,house,Yes,2014,Within a day,90%,"June 7, 2017",house,,4500,12,,Long Beach,CA
4352186ha,(#255) Surf and shop Dreamland. Steps to Main ST. Beach and Pacific City,33.65746052,-117.99785499,"Huntington Beach, CA, USA",8,,706,800,,,250,,5,8,4,3,house,Yes,2002,,,"May 24, 2017",house,,,8,,Long Beach,CA
984226,Beach Front Surf City Unmatched Location - No traffic noise and panoramic views,33.65847415,-118.00581284,"Huntington Beach, CA, USA",1,,230,175,,,175,10.0%,29,4,1,1,condo,Yes,2006,Within a few hours,100%,"June 9, 2017",condo,3,750,4,building,Long Beach,CA
160430,Your Dream Home on the Sand is Here,33.71919465,-118.07340229,"Sunset Beach, Huntington Beach, CA, USA",21,,505,,,,,,7,8,2,1,apartment,Yes,2005,Within 12 hours,100%,"June 8, 2017",apartment,1,,8,house,Long Beach,CA
3489739ha,Oceanfront /Beachfront Luxury Living At It's Best!!,33.8351339,-118.389606,"South Redondo, Redondo Beach, CA, USA",17,4.8,200,,,,,,14,5,2,2,condo,Yes,2012,Within a few days,90%,"May 29, 2017",condo,2,1430,5,building,Long Beach,CA
461021,Manhattan Beach Sand Section Home With Water View,33.899685,-118.415943,"Manhattan Beach, CA, USA",7,,495,375,,,,,3,8,3,2,townhome,Yes,2013,Within a day,100%,"June 7, 2017",townhome,,1700,8,,Long Beach,CA
3750536ha,Perfect Beach Duplex Near Everything on the Balboa Peninsula! (68355),33.615543,-117.93179,"Balboa Peninsula, Newport Beach, CA, USA",18,4.5,248,,,,,,2,6,2,2,house,Yes,2008,Within a day,,"June 9, 2017",house,,,6,,Long Beach,CA
646435,Walk to Disneyland & Conv Center!**Hot Tub!**Game Room***Sizzling Summer**,33.798442,-117.934206,"Southwest Anaheim, Anaheim, CA, USA",15,4.2,373,,,,,,3,11,4,2,house,Yes,2006,Within an hour,,"June 8, 2017",house,,1968,11,,Long Beach,CA
772683,Beach Sanctuary 30 Seconds to Beach/Dining!  Patio/Bikes/Parking/WiFi/Washer GEM,33.6211227,-117.939189,"Balboa Peninsula, Newport Beach, CA, USA",13,4.9,280,199,224,,175,10.0%,2,5,2,2,house,Yes,2010,Within an hour,100%,"June 9, 2017",house,,700,,,Long Beach,CA
825170,"Oceanfront Beach Home In Private, Gated Community",33.72905711,-118.08512391,"Surfside Colony (Seal Beach, CA, USA)",1,,,,,,400,,30,15,5,4,house,Yes,2016,Within a day,90%,"June 2, 2017",house,,3779,15,,Long Beach,CA
853815,"5 Bedroom Home Walking Distance To Disneyland, Grocery Stores, Restaurant, Bars",33.802046,-117.936258,"Southwest Anaheim, Anaheim, CA, USA",2,,505,499,,,270,15.0%,3,13,5,3,house,No,2014,Within an hour,100%,"June 9, 2017",house,,,13,,Long Beach,CA
859282,Family Friendly Beautiful Home Near the Pacific Coast!,33.684768,-117.930716,"Mesa Verde, Costa Mesa, CA, USA",3,,295,,,,199,,5,10,4,2,house,Yes,2016,Within a day,100%,"June 1, 2017",house,,2300,10,,Long Beach,CA
900397,"Little Farm on the Hill, quaint 2 bedroom apartment......",33.9680085,-117.9756813,"East Whitter, Whittier, CA, USA",5,4.8,135,135,,,40,9.0%,,6,2,1,apartment,Yes,2016,Within an hour,100%,"June 8, 2017",apartment,1,900,6,house,Long Beach,CA
1054016,"Upstairs Bayfront Home, Short Walk to Beach",33.6194483,-117.9356151,"Balboa Peninsula, Newport Beach, CA, USA",2,,207,,,,,,0,8,3,2,house,Yes,2004,Within a day,,"June 8, 2017",house,,,8,,Long Beach,CA
7044837ha,Ocean View Townhome Manhattan Beach,33.890639,-118.414075,"Sand Section, Manhattan Beach, CA, USA",2,,500,,,,,,7,6,3,3,house,No,2008,Within 12 hours,100%,"April 24, 2017",house,,,6,,Long Beach,CA
249118,The Best home for   Disneyland & Convention center -- Best  Rate!!,33.7971077,-117.92300415,"Anaheim Resort, Anaheim, CA, USA",12,4.5,159,159,,,135,15.0%,3,11,3,2,condo,Yes,2009,Within a few hours,100%,"June 9, 2017",condo,,,11,villa,Long Beach,CA
610214,New Three Story Duplex With Ocean View - Top Unit - 2 bed/3 bath,33.61353,-117.932351,"Balboa Peninsula, Newport Beach, CA, USA",2,,257,,,,,10.0%,5,5,2,3,condo,Yes,2014,Within a few hours,100%,"June 2, 2017",condo,2,1200,5,building,Long Beach,CA
687207,"Modern, newly updated w/jetted tub! Steps to beach, short drive to boardwalk!",33.62241,-117.940779,"West Newport, Newport Beach, CA, USA",37,4.6,448,,,,,,2,8,4,2,house,Yes,2001,Within an hour,,"June 9, 2017",house,,,8,,Long Beach,CA
707545,Modern Manhattan Beach Duplex - Block from the Beach,33.9014511,-118.4172179,"El Porto, Manhattan Beach, CA, USA",11,4.5,246,235,,,175,10.0%,4,8,3,1,house,Yes,2015,Within 2 days,90%,"June 9, 2017",house,,1100,8,building,Long Beach,CA
707154,Beautiful home w/private patio just minutes from the beach,33.628222,-117.951343,"Newport Shores, Newport Beach, CA, USA",31,,347,,,,,,2,6,3,2,condo,Yes,2001,Within an hour,,"June 9, 2017",condo,,,6,,Long Beach,CA
4018710ha,One of a Kind 2BR - Rooftop Deck & Jacuzzi-One Block to the Sand,33.613936,-117.930924,"Balboa Peninsula, Newport Beach, CA, USA",5,4.8,222,,,,,,4,6,2,2,house,Yes,2005,Within an hour,,"June 9, 2017",house,,1229,6,,Long Beach,CA
779228,5 Minutes to Disneyland!!,33.8042883,-117.8930152,"Southeast Anaheim, Anaheim, CA, USA",0,,135,110,,,,,30,4,1,1,apartment,Yes,2015,Within a few days,60%,"June 2, 2017",apartment,,,4,,Long Beach,CA
896808,Cool Newport Island Mid-Century Modern on the Bayfront!,33.619775,-117.932392,"Balboa Peninsula, Newport Beach, CA, USA",5,4.6,537,,,,,,0,10,4,3,house,Yes,2004,Within a day,,"June 9, 2017",house,,,10,,Long Beach,CA
1007789,Luxuriously Remodeled Oceanfront Vacation Home - Downstairs Split Level Unit,33.61494,-117.934338,"Balboa Peninsula, Newport Beach, CA, USA",3,4.7,505,,,,,,0,8,3,2,house,Yes,2004,Within a day,,"June 8, 2017",house,,,8,,Long Beach,CA
212486ha,Huntington Seaside Villa- Short Steps to the Sand- All Stays Welcome,,,"Huntington Beach, CA, USA",32,4.8,329,,,,,,3,8,3,2,house,Yes,1997,Within an hour,90%,"June 3, 2017",house,,2500,8,,Long Beach,CA
12906,Your Own Beach House Experience-Steps to the Sand - All Stays Are Welcome,,,"Huntington Beach, CA, USA",32,4.8,331,300,,,,,3,8,3,2,house,Yes,2002,Within an hour,90%,"June 3, 2017",house,,2500,8,,Long Beach,CA
7116027ha,Large house with a pool house. Walking distance to Disneyland & Convention Ct,,,"Southwest Anaheim, Anaheim, CA, USA",0,,454,395,,,225,15.0%,3,18,5,4,house,Yes,2013,Within a day,100%,"June 5, 2017",house,,3000,18,,Long Beach,CA
500789,"Disneyland And California Adventure Park Duirng The Day, Ice Skating At Night",,,"Anaheim Colony Historic District, Anaheim, CA, USA",11,4.5,118,,,,100,,30,7,2,1,apartment,Yes,2014,Within a day,90%,"April 26, 2017",apartment,1,1595,7,,Long Beach,CA
580451,Beach Front Surf City Huntington Beach - Walk to Pier - Whitewater View,33.65862361,-118.00572701,"Huntington Beach, CA, USA",13,,232,,,,,10.0%,29,3,1,1,condo,Yes,2006,Within an hour,100%,"June 9, 2017",condo,3,750,3,,Long Beach,CA
630928,**Walk to Disneyland**Fireworks on patio** - V,33.81936,-117.926699,"Southwest Anaheim, Anaheim, CA, USA",22,4.7,265,255,275,,170,15.0%,3,10,4,2,house,Yes,2014,Within an hour,100%,"June 9, 2017",house,,,10,,Long Beach,CA
708814,COFFEE BUNGALOW HIDEAWAY near everything when traveling into Los Angeles!,33.986472,-118.039391,"Whittier, CA, USA",6,4.2,99,99,,,75,,2,4,1,1,bungalow,Yes,2015,Within an hour,100%,"June 3, 2017",bungalow,,750,4,,Long Beach,CA
3970726ha,Location!! Remodeled 2 Bed Newport Beach Condo walk to the sand w/ ample parking,33.625107,-117.932885,"Newport Beach, CA, USA",3,,123,,,,,,30,5,2,2,condo,Yes,2015,Within an hour,100%,"June 8, 2017",condo,2,980,5,building,Long Beach,CA
4117962ha,Ocean view! Life is easy at this fantastic condo! 31 nights or more (68419),33.613127,-117.931626,"Balboa Peninsula, Newport Beach, CA, USA",1,,279,,,,,,30,6,3,2,house,Yes,2008,Within a day,,"June 9, 2017",house,,,6,,Long Beach,CA
825584,"Sleek, New Beach City Town House",33.738085,-118.290406,"Central San Pedro, Los Angeles, CA, USA",9,,83,,,,95,,60,4,2,3,townhome,Yes,2016,Within a day,100%,"June 6, 2017",townhome,2,1300,4,building,Long Beach,CA
303200,Ocean Views & Just Steps to the Beach!,33.90403748,-118.42029572,"El Porto, Manhattan Beach, CA, USA",33,4.9,,,,,100,,30,4,2,2,apartment,Yes,2006,Within a few hours,100%,"June 9, 2017",apartment,2,900,4,building,Long Beach,CA
408626,Ocean View Property.. a few steps to the beach! Sleeps 8,33.8912321,-118.4144124,"Sand Section, Manhattan Beach, CA, USA",8,,300,,,,,10.0%,30,8,3,2,townhome,Yes,2011,Within a few days,80%,"June 6, 2017",townhome,,1400,8,,Long Beach,CA
7115937ha,Close to the Beach & Ocean Breezes,33.680764,-117.993975,"Garfield, Huntington Beach, CA, USA",7,4.7,101,,,,195,,30,4,2,1,townhome,Yes,2013,Within 12 hours,100%,"June 5, 2017",townhome,,1083,4,building,Long Beach,CA
633128,"Luxury apartment downtown anaheim , near Disneyland",33.8334615,-117.9185266,"Anaheim Colony Historic District, Anaheim, CA, USA",2,,140,140,,,,,30,4,2,2,apartment,Yes,2014,Within an hour,90%,"February 15, 2017",apartment,2,1000,4,,Long Beach,CA
